champ1,champ2,winrate,n_games
Riven,Rengar,0.500712251,1404
Amumu,Poppy,0.586600143,1403
Evelynn,Wukong,0.457590877,1403
Rengar,Diana,0.521116679,1397
Xin Zhao,Kindred,0.478448276,1392
Olaf,Nunu,0.44787922399999996,1391
Master Yi,Irelia,0.473608098,1383
Amumu,Hecarim,0.533285094,1382
Lee Sin,Sejuani,0.472845764,1381
Wukong,Vi,0.5036231879999999,1380
Xin Zhao,Kha'Zix,0.46081277200000004,1378
Amumu,Akali,0.47165697700000003,1376
Nunu,Nasus,0.438864629,1374
Cho'Gath,Kha'Zix,0.508005822,1374
Galio,Master Yi,0.518950437,1372
Rengar,Kai'Sa,0.49234135700000003,1371
Nunu,Jhin,0.499635303,1371
Rammus,Hecarim,0.45295404799999994,1371
Master Yi,Camille,0.45973645700000004,1366
Master Yi,Lulu,0.544322344,1365
Lee Sin,Darius,0.483823529,1360
Gragas,Pyke,0.488954345,1358
Jax,Ekko,0.54458364,1357
Olaf,Master Yi,0.46755162200000006,1356
Shyvana,Kayn,0.46587537100000004,1348
Master Yi,Morgana,0.5494752620000001,1334
Dr. Mundo,Kindred,0.545045045,1332
Poppy,Kindred,0.517267267,1332
Yasuo,Vi,0.48045112799999995,1330
Pantheon,Rengar,0.47138554200000005,1328
Warwick,Udyr,0.453654861,1327
Rengar,Ekko,0.518853695,1326
Nunu,Thresh,0.476226415,1325
Jarvan IV,Kha'Zix,0.519274376,1323
Kindred,Vi,0.455370651,1322
Irelia,Graves,0.518546556,1321
Zac,Yasuo,0.5056775170000001,1321
Teemo,Wukong,0.467070401,1321
Evelynn,Kindred,0.474524715,1315
Warwick,Vi,0.434682964,1309
Rengar,Zac,0.503834356,1304
Teemo,Shaco,0.430438125,1301
Shyvana,Rengar,0.46,1300
Jax,Rammus,0.516576715,1297
Jax,Volibear,0.549382716,1296
Twitch,Rengar,0.49304482200000005,1294
Jax,Trundle,0.520123839,1292
Fiddlesticks,Kha'Zix,0.48721921,1291
Alistar,Yasuo,0.580620155,1290
Master Yi,Fizz,0.488354037,1288
Warwick,Shaco,0.422688423,1287
Kayn,Ekko,0.519440124,1286
Evelynn,Pyke,0.44851794100000003,1282
