"","champ1","champ2","winrate","n_games"
"14912","Ahri","Nasus",0.5,40
"66701","Ahri","Nautilus",0.571428571,56
"10886","Ahri","Nidalee",0.443181818,88
"10264","Ahri","Nocturne",0.454545455,99
"3100","Ahri","Nunu",0.462719298,456
"13028","Ahri","Olaf",0.55,60
"18326","Ahri","Orianna",0.466666667,15
"7345","Ahri","Ornn",0.348837209,43
"12090","Ahri","Pantheon",0.422535211,71
"7568","Ahri","Poppy",0.566037736,159
"36541","Ahri","Pyke",0.5,168
"6903","Ahri","Quinn",0.431372549,51
"85581","Ahri","Rakan",0.391304348,23
"10350","Ahri","Rammus",0.551020408,98
"8269","Ahri","Rek'Sai",0.392857143,28
"14332","Ahri","Renekton",0.47826087,46
"2555","Ahri","Rengar",0.472118959,269
"7912","Ahri","Riven",0.526666667,150
"15102","Ahri","Rumble",0.641025641,39
"16976","Ahri","Ryze",0.416666667,24
"69881","Ahri","Sejuani",0.469387755,49
"8902","Ahri","Shaco",0.48,125
"15294","Ahri","Shen",0.567567568,37
"9700","Ahri","Shyvana",0.398148148,108
"13434","Ahri","Singed",0.454545455,55
"9888","Ahri","Sion",0.533333333,105
"18242","Ahri","Sivir",0.733333333,15
"14388","Ahri","Skarner",0.511111111,45
"17936","Ahri","Sona",0.444444444,18
"17468","Ahri","Soraka",0.6,20
"17270","Ahri","Swain",0.5,22
"9269","Ahri","Syndra",0.230769231,13
"72241","Ahri","Tahm Kench",0.511111111,45
"6987","Ahri","Taliyah",0.489795918,49
"12598","Ahri","Talon",0.430769231,65
"16834","Ahri","Taric",0.56,25
"9324","Ahri","Teemo",0.525862069,116
"66721","Ahri","Thresh",0.5,56
"16442","Ahri","Tristana",0.5,28
"12276","Ahri","Trundle",0.52173913,69
"8138","Ahri","Tryndamere",0.590277778,144
"16256","Ahri","Twisted Fate",0.466666667,30
"10222","Ahri","Twitch",0.58,100
"8422","Ahri","Udyr",0.496350365,137
"15394","Ahri","Urgot",0.583333333,36
"8903","Ahri","Varus",0.333333333,18
"13350","Ahri","Vayne",0.571428571,56
"14954","Ahri","Veigar",0.275,40
"9213","Ahri","Vel'Koz",0.5,14
"41681","Ahri","Vi",0.467625899,139
"96501","Ahri","Viktor",0.5,8
"18814","Ahri","Vladimir",0.583333333,12
"56481","Ahri","Volibear",0.487804878,82
"6866","Ahri","Warwick",0.410810811,185
"6190","Ahri","Wukong",0.518691589,214
"83581","Ahri","Xayah",0.423076923,26
"18726","Ahri","Xerath",0.25,12
"7180","Ahri","Xin Zhao",0.583815029,173
"34641","Ahri","Yasuo",0.43715847,183
"17122","Ahri","Yorick",0.47826087,23
"54211","Ahri","Zac",0.415730337,89
"53061","Ahri","Zed",0.462365591,93
"8763","Ahri","Ziggs",0.35,20
"18590","Ahri","Zilean",0.384615385,13
"83761","Ahri","Zoe",0.5,26
"85261","Ahri","Zyra",0.5,24
"717","Akali","Aatrox",0.402761795,869
"4467","Akali","Ahri",0.39516129,124
"6318","Akali","Alistar",0.403846154,208
"746","Akali","Amumu",0.471656977,1376
"12336","Akali","Anivia",0.367647059,68
"10456","Akali","Annie",0.364583333,96
"8968","Akali","Ashe",0.362903226,124
"5097","Akali","Aurelion Sol",0.4,100
"54361","Akali","Azir",0.314606742,89
"34321","Akali","Bard",0.351351351,185
"4970","Akali","Blitzcrank",0.357400722,277
"3326","Akali","Brand",0.465558195,421
"5699","Akali","Braum",0.4625,80
"8962","Akali","Caitlyn",0.35483871,124
"15041","Akali","Camille",0.402542373,472
"13354","Akali","Cassiopeia",0.410714286,56
"1572","Akali","Cho'Gath",0.416565164,821
"16350","Akali","Corki",0.206896552,29
"1355","Akali","Darius",0.36294896,529
"11521","Akali","Diana",0.416393443,610
"1670","Akali","Dr. Mundo",0.447401774,789
"46001","Akali","Draven",0.319327731,119
"1323","Akali","Ekko",0.378927911,541
"5384","Akali","Elise",0.361111111,252
"1710","Akali","Evelynn",0.344113842,773
"5160","Akali","Ezreal",0.428571429,266
"1938","Akali","Fiddlesticks",0.413105413,702
"4265","Akali","Fiora",0.402985075,134
"21361","Akali","Fizz",0.382262997,327
"4656","Akali","Galio",0.417508418,297
"7036","Akali","Gangplank",0.359550562,178
"685","Akali","Garen",0.420467186,899
"49961","Akali","Gnar",0.330097087,103
"1326","Akali","Gragas",0.416393443,915
"1221","Akali","Graves",0.433147114,2685
"899","Akali","Hecarim",0.389784946,744
"6930","Akali","Heimerdinger",0.344262295,183
"26061","Akali","Illaoi",0.414448669,263
"2662","Akali","Irelia",0.367346939,539
"3183","Akali","Ivern",0.368932039,206
"14098","Akali","Janna",0.354166667,48
"1748","Akali","Jarvan IV",0.392904074,761
"512","Akali","Jax",0.424528302,1802
"56361","Akali","Jayce",0.409638554,83
"2345","Akali","Jhin",0.416949153,295
"29561","Akali","Jinx",0.343612335,227
"11421","Akali","Kai'Sa",0.425774878,613
"53361","Akali","Kalista",0.434782609,92
"10650","Akali","Karma",0.301075269,93
"3580","Akali","Karthus",0.498721228,391
"9972","Akali","Kassadin",0.346153846,104
"6300","Akali","Katarina",0.377990431,209
"5886","Akali","Kayle",0.407894737,228
"2701","Akali","Kayn",0.407621247,1732
"53621","Akali","Kennen",0.395604396,91
"4611","Akali","Kha'Zix",0.39279732,1194
"5061","Akali","Kindred",0.378571429,1120
"3257","Akali","Kled",0.365,200
"5113","Akali","Kog'Maw",0.45,100
"11446","Akali","LeBlanc",0.3,80
"246","Akali","Lee Sin",0.388971684,2684
"40581","Akali","Leona",0.379310345,145
"68741","Akali","Lissandra",0.411764706,51
"2833","Akali","Lucian",0.435146444,239
"5051","Akali","Lulu",0.277227723,101
"26021","Akali","Lux",0.368821293,263
"1778","Akali","Malphite",0.396528705,749
"5103","Akali","Malzahar",0.37,100
"2100","Akali","Maokai",0.453435115,655
"214","Akali","Master Yi",0.389257063,2867
"4876","Akali","Miss Fortune",0.386524823,282
"4870","Akali","Mordekaiser",0.38869258,283
"5982","Akali","Morgana",0.479820628,223
"6475","Akali","Nami",0.344262295,61
"4180","Akali","Nasus",0.393393393,333
"1837","Akali","Nautilus",0.405759162,382
"2848","Akali","Nidalee",0.355289421,501
"2034","Akali","Nocturne",0.387001477,677
"230","Akali","Nunu",0.374090247,2748
"4094","Akali","Olaf",0.369501466,341
"9526","Akali","Orianna",0.469026549,113
"25481","Akali","Ornn",0.37037037,270
"2654","Akali","Pantheon",0.388888889,540
"1616","Akali","Poppy",0.448019802,808
"457","Akali","Pyke",0.336675021,1197
"33181","Akali","Quinn",0.338461538,195
"41581","Akali","Rakan",0.446043165,139
